Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2020/07/08,24,MD,24009,Calvert County,18946,73579,285254,59391,62860,28846,40008,49587,33886,8394,1769,341,172
County,2020/07/08,24,MD,24011,Caroline County,5900,27506,118453,22493,21389,17705,13791,25769,10842,5222,1010,130,102
County,2020/07/08,24,MD,24013,Carroll County,32236,136211,519600,122104,115762,43711,66012,97437,54475,14712,3970,559,858
County,2020/07/08,24,MD,24015,Cecil County,20599,82256,353370,86583,73014,37254,51668,64216,23800,11292,4647,581,315
County,2020/07/08,24,MD,24017,Charles County,31540,131717,512468,108818,118534,57463,68048,96496,51490,7808,2850,739,222
County,2020/07/08,24,MD,24019,Dorchester County,5233,26696,121490,29168,31393,11985,13033,20154,8859,5328,1137,415,18
County,2020/07/08,24,MD,24021,Frederick County,53932,205615,800639,217523,159387,83087,108418,112849,80298,31711,4659,1559,1148
County,2020/07/08,24,MD,24023,Garrett County,4464,24550,107706,21361,26770,14216,21026,14598,6300,1518,1661,172,84
County,2020/07/08,24,MD,24025,Harford County,51282,204159,802101,202074,167983,86633,125318,136221,53917,22805,5449,1251,450
County,2020/07/08,24,MD,24027,Howard County,72639,253051,979223,253201,222907,115927,150794,169016,45718,11071,6312,1621,2656
County,2020/07/08,24,MD,24029,Kent County,3318,16104,65419,16725,12301,7639,8974,12065,5561,1504,613,7,30
County,2020/07/08,24,MD,24031,Montgomery County,281991,768697,2874007,809118,638973,347419,427536,440443,156044,28458,16136,5587,4293
County,2020/07/08,24,MD,24033,Prince George's County,216480,692847,2656505,727280,546608,291186,438393,479100,128250,26142,12753,3809,2984
County,2020/07/08,24,MD,24035,Queen Anne's County,8806,41575,163431,29417,33415,18504,21089,32128,17888,9323,1190,378,99
County,2020/07/08,24,MD,24037,St. Mary's County,20971,92539,374122,74039,91241,47053,64227,62249,21634,11952,1142,229,356
County,2020/07/08,24,MD,24039,Somerset County,4608,21008,103326,24793,24017,10012,12823,19499,8489,2234,1108,346,5
County,2020/07/08,24,MD,24041,Talbot County,8117,29064,127402,29200,28349,15670,18538,22141,6423,6217,576,189,99
County,2020/07/08,24,MD,24043,Washington County,32451,118598,463307,113438,103722,57746,67902,56832,33209,22518,6008,1646,286
County,2020/07/08,24,MD,24045,Wicomico County,21655,81954,348680,81325,83536,43112,53007,45823,29837,7418,3981,476,165
County,2020/07/08,24,MD,24047,Worcester County,12125,40151,175913,46903,50111,19634,27537,17574,8782,1942,3204,189,37
County,2020/07/08,24,MD,24510,Baltimore city,177243,416247,1770338,590778,415965,214905,275646,169100,68643,21001,10858,2024,1418
County,2020/07/09,24,MD,24041,Talbot County,8094,29087,128381,29187,31452,14210,17827,21724,7584,5691,525,93,88
County,2020/07/09,24,MD,24043,Washington County,32668,118381,478752,111727,107633,59090,70695,60122,37990,23002,6770,1425,298
County,2020/07/09,24,MD,24045,Wicomico County,22070,81539,349742,84028,82191,43979,47651,50962,29832,6839,3713,418,129
County,2020/07/09,24,MD,24047,Worcester County,11860,40416,169637,44105,48659,17821,26337,18021,8916,2048,3453,242,35
County,2020/07/09,24,MD,24510,Baltimore city,178688,414802,1799310,608434,437139,222458,278174,166213,55004,17845,10064,2153,1826
County,2020/07/09,24,MD,24039,Somerset County,4271,21345,97883,20613,23970,6889,12818,21351,8322,2462,1339,107,12
County,2020/07/09,24,MD,24037,St. Mary's County,21388,92122,364120,75153,88589,43346,57277,63252,22862,11141,2006,242,252
County,2020/07/09,24,MD,24035,Queen Anne's County,8942,41439,162731,28728,33492,19367,21417,33137,16770,8398,1036,297,89
County,2020/07/09,24,MD,24033,Prince George's County,220149,689178,2725226,767946,559044,294674,458714,481945,119875,24101,12968,3290,2669
County,2020/07/09,24,MD,24031,Montgomery County,285643,765045,2923098,823736,656290,341461,446599,452494,153001,26899,13044,4607,4967
County,2020/07/09,24,MD,24029,Kent County,3803,15619,66903,16240,16008,6922,9273,10576,5936,1275,642,7,24
County,2020/07/09,24,MD,24027,Howard County,72860,252830,993414,259923,231608,117612,145241,171684,45846,9799,7307,2016,2378
County,2020/07/09,24,MD,24025,Harford County,53261,202180,817176,209037,171378,85978,120398,143663,59125,20374,5868,650,705
County,2020/07/09,24,MD,24023,Garrett County,4493,24521,111698,23512,27025,14364,19582,18496,5054,1829,1629,136,71
County,2020/07/09,24,MD,24021,Frederick County,54750,204797,824644,225221,169451,84540,107562,119436,77454,33751,4581,1700,948
County,2020/07/09,24,MD,24019,Dorchester County,5421,26508,128078,33795,33508,12106,14336,18914,9626,4220,1210,321,42
County,2020/07/09,24,MD,24017,Charles County,32206,131051,521442,115229,114958,56466,73531,95382,54381,7330,3294,589,282
County,2020/07/09,24,MD,24015,Cecil County,20050,82805,345976,78690,77210,37588,56118,58703,21978,10182,4256,770,481
County,2020/07/09,24,MD,24013,Carroll County,32401,136046,528475,120508,123990,51519,65221,89997,56947,14143,4258,887,1005
County,2020/07/09,24,MD,24011,Caroline County,5879,27527,119965,22145,24196,18188,14367,22601,10693,5998,1475,218,84
County,2020/07/09,24,MD,24009,Calvert County,19856,72669,284552,61957,63534,29211,40096,48724,30520,8474,1454,404,178
County,2020/07/09,24,MD,24005,Baltimore County,196531,630839,2521967,683626,567225,288427,388576,399569,119668,49820,19471,3911,1674
County,2020/07/09,24,MD,24003,Anne Arundel County,133182,446052,1795672,496298,401071,193764,264698,271103,123492,27077,12907,2938,2324
County,2020/07/09,24,MD,24001,Allegany County,16034,54382,228833,51213,65409,28392,39065,27785,8688,5396,2526,291,68
County,2020/07/10,24,MD,24031,Montgomery County,280610,770078,2956233,828391,663181,361533,453797,448230,143463,28239,18420,5169,5810
County,2020/07/10,24,MD,24033,Prince George's County,218389,690938,2891494,846763,592741,319698,473467,487581,121518,26105,15697,4406,3518
County,2020/07/10,24,MD,24035,Queen Anne's County,9085,41296,148245,25342,32040,18276,19354,26928,15912,8618,1462,194,119
County,2020/07/10,24,MD,24037,St. Mary's County,20606,92904,381467,73594,99194,42587,61392,65382,23204,12926,2340,417,431
County,2020/07/10,24,MD,24039,Somerset County,4418,21198,101107,26169,22484,7725,14963,18313,8086,1655,1478,220,14
County,2020/07/10,24,MD,24041,Talbot County,8092,29089,122826,31920,29870,13847,15762,20269,5543,4717,714,136,48
County,2020/07/10,24,MD,24043,Washington County,32545,118504,479942,114395,110061,62871,69415,64128,30707,20170,6558,1392,245
County,2020/07/10,24,MD,24045,Wicomico County,22410,81199,353166,87347,87019,43369,49445,47402,28509,5419,3869,551,236
County,2020/07/10,24,MD,24047,Worcester County,11701,40575,163596,40970,44459,20121,24269,18114,9621,2277,3354,353,58
County,2020/07/10,24,MD,24510,Baltimore city,178939,414551,1875154,622882,458357,229198,292033,179224,61774,17629,10627,2037,1393
County,2020/07/10,24,MD,24001,Allegany County,15809,54607,224767,54036,61108,28327,38850,26473,8148,4666,2778,258,123
County,2020/07/10,24,MD,24003,Anne Arundel County,132038,447196,1831368,511178,389412,208690,271730,273293,124499,30940,15026,3498,3102
County,2020/07/10,24,MD,24005,Baltimore County,195035,632335,2535982,672534,590836,295616,385611,384112,127126,49795,23593,4609,2150
County,2020/07/10,24,MD,24009,Calvert County,19003,73522,294982,62811,67609,31718,41494,48528,31452,8647,1851,640,232
County,2020/07/10,24,MD,24011,Caroline County,6115,27291,106187,20934,21412,15931,13102,19869,8264,5321,1093,160,101
County,2020/07/10,24,MD,24013,Carroll County,32187,136260,541749,120747,127658,51190,74517,90920,56200,13327,5031,1083,1076
County,2020/07/10,24,MD,24015,Cecil County,19926,82929,328586,71467,69027,37705,53522,58818,21084,11362,4518,683,400
County,2020/07/10,24,MD,24017,Charles County,31927,131330,546326,108251,127989,63257,77905,103095,53382,8383,3104,636,324
County,2020/07/10,24,MD,24019,Dorchester County,5212,26717,117764,25660,33623,11198,13086,19631,8940,4317,1006,275,28
County,2020/07/10,24,MD,24021,Frederick County,54912,204635,824934,217879,180894,85371,111099,116912,75157,29078,5597,2184,763
County,2020/07/10,24,MD,24023,Garrett County,4345,24669,104695,20840,24105,14000,20853,15034,5735,2374,1333,288,133
County,2020/07/10,24,MD,24025,Harford County,52580,202861,814141,204955,175837,92631,121277,130272,56760,23264,7101,1353,691
County,2020/07/10,24,MD,24027,Howard County,71127,254563,1018011,264571,234120,119882,163092,173866,40161,10951,7301,1672,2395
County,2020/07/10,24,MD,24029,Kent County,3533,15889,61315,13243,13927,7363,8579,10540,5675,1505,433,27,23
County,2020/07/11,24,MD,24001,Allegany County,17053,53363,207346,47692,54627,26243,37471,22406,10850,5441,2185,281,150
County,2020/07/11,24,MD,24003,Anne Arundel County,139120,440114,1759603,497432,406556,207645,261283,231396,97979,34679,15241,4378,3014
County,2020/07/11,24,MD,24005,Baltimore County,206947,620423,2499137,686711,603582,300081,385023,337547,117136,40659,21579,4755,2064
County,2020/07/11,24,MD,24009,Calvert County,20425,72100,284034,69399,63968,28613,42643,42750,25502,7709,2582,680,188
County,2020/07/11,24,MD,24011,Caroline County,6469,26937,110931,20192,23525,16717,14538,22833,7299,4568,897,227,135
County,2020/07/11,24,MD,24013,Carroll County,35245,133202,529357,121841,128176,57351,71822,86769,41324,14198,6091,888,897
County,2020/07/11,24,MD,24015,Cecil County,21959,80896,348924,83903,79711,42617,56769,53727,17295,9672,3925,901,404
County,2020/07/11,24,MD,24017,Charles County,32935,130322,499997,102908,117755,56238,74317,92986,42563,9098,3078,803,251
County,2020/07/11,24,MD,24019,Dorchester County,5681,26248,127647,34566,34002,13040,12165,20351,8266,4011,962,252,32
County,2020/07/11,24,MD,24021,Frederick County,59348,200199,805295,227965,178194,86121,111120,108422,55488,28280,6479,2371,855
County,2020/07/11,24,MD,24023,Garrett County,4472,24542,100377,16358,27333,12102,21014,14911,4395,2015,1876,286,87
County,2020/07/11,24,MD,24025,Harford County,54624,200817,826855,223458,181643,99881,122997,121702,48048,19823,7072,1328,903
County,2020/07/11,24,MD,24027,Howard County,73733,251957,997463,264514,237385,121764,162943,153814,34861,10790,6604,2140,2648
County,2020/07/11,24,MD,24029,Kent County,4136,15286,57703,13028,13413,6825,8307,9562,4274,1721,520,8,45
County,2020/07/11,24,MD,24031,Montgomery County,291791,758897,2948398,843536,669074,356489,436038,431652,146801,32428,19542,5821,7017
County,2020/07/11,24,MD,24033,Prince George's County,226427,682900,2709253,728180,593143,315431,455062,451173,117471,26115,14700,4499,3479
County,2020/07/11,24,MD,24035,Queen Anne's County,9716,40665,160786,34112,35555,22499,21374,27485,12155,6084,1028,407,87
County,2020/07/11,24,MD,24037,St. Mary's County,22378,91132,367512,78160,89139,46597,61977,60303,17989,9599,2947,437,364
County,2020/07/11,24,MD,24039,Somerset County,4570,21046,99447,25621,25167,9319,13574,14068,7881,2537,1132,126,22
County,2020/07/11,24,MD,24041,Talbot County,8602,28579,118211,27825,27875,15889,18378,17570,5113,4672,687,134,68
County,2020/07/11,24,MD,24043,Washington County,34660,116389,459765,114190,105463,68573,69912,54829,22401,16601,6096,1378,322
County,2020/07/11,24,MD,24045,Wicomico County,24177,79432,332474,82404,78901,43571,51867,42982,23261,5341,3402,504,241
County,2020/07/11,24,MD,24047,Worcester County,11895,40381,176819,48020,50773,20550,26326,17320,8093,2139,3128,408,62
County,2020/07/11,24,MD,24510,Baltimore city,185310,408180,1859562,642578,461795,228647,278026,163318,51957,17479,11485,2976,1301
County,2020/07/12,24,MD,24001,Allegany County,17673,52743,182986,44060,44382,24759,34338,20657,8340,3459,2570,270,151
County,2020/07/12,24,MD,24003,Anne Arundel County,142971,436263,1596819,438781,381443,192679,236069,202308,87063,31592,19466,4008,3410
County,2020/07/12,24,MD,24005,Baltimore County,216115,611255,2158163,557963,546954,257749,331357,291353,102013,37731,24258,5605,3180
County,2020/07/12,24,MD,24009,Calvert County,21359,71166,258925,55394,58475,31976,39558,39166,23716,6702,3165,547,226
County,2020/07/12,24,MD,24011,Caroline County,6929,26477,96933,18566,17774,15727,14455,18232,6110,4659,936,337,137
County,2020/07/12,24,MD,24013,Carroll County,35797,132650,468616,109877,118334,46320,61471,77497,34721,12608,5371,1208,1209
County,2020/07/12,24,MD,24015,Cecil County,23038,79817,304231,68221,72034,35503,53531,44202,16061,9825,3933,562,359
County,2020/07/12,24,MD,24017,Charles County,34497,128760,427735,83362,97851,53161,67465,77005,36502,7687,3820,668,214
County,2020/07/12,24,MD,24019,Dorchester County,5948,25981,109218,30286,26726,8695,12006,19205,5861,5263,879,253,44
County,2020/07/12,24,MD,24021,Frederick County,58816,200731,679913,184471,142769,66074,98718,99573,50552,26947,6765,2821,1223
County,2020/07/12,24,MD,24023,Garrett County,4833,24181,104526,18734,27532,14138,20690,13951,4944,2267,2012,133,125
County,2020/07/12,24,MD,24025,Harford County,56187,199254,727384,191356,159908,90846,110498,108762,38452,18819,6566,944,1233
County,2020/07/12,24,MD,24027,Howard County,75974,249716,887218,249773,218641,108196,130691,124886,32808,10292,7291,1696,2944
County,2020/07/12,24,MD,24029,Kent County,3960,15462,56718,13242,12259,7827,7441,10074,3488,1780,512,41,54
County,2020/07/12,24,MD,24031,Montgomery County,297982,752706,2612660,703191,629384,334042,383702,354544,132857,38278,20775,8275,7612
County,2020/07/12,24,MD,24033,Prince George's County,237507,671820,2323500,609006,505198,269389,404139,376456,106256,27391,16777,4546,4342
County,2020/07/12,24,MD,24035,Queen Anne's County,9715,40666,162124,36387,36272,19331,21644,27059,11691,8117,1265,239,119
County,2020/07/12,24,MD,24037,St. Mary's County,22755,90755,332539,71863,83900,38829,53812,52129,13870,13595,3637,436,468
County,2020/07/12,24,MD,24039,Somerset County,5467,20149,96570,26386,25848,8643,11779,14885,5147,2637,981,205,59
County,2020/07/12,24,MD,24041,Talbot County,8394,28787,111162,27570,29249,11591,15641,15578,5547,4885,814,137,150
County,2020/07/12,24,MD,24043,Washington County,36972,114077,389866,85891,95617,51429,58286,53679,22500,15010,5875,1248,331
County,2020/07/12,24,MD,24045,Wicomico County,23893,79716,299629,79653,72014,35146,42448,35674,23137,6760,3759,855,183
County,2020/07/12,24,MD,24047,Worcester County,12149,40127,165150,47195,44504,17060,26513,15794,6265,2601,4691,447,80
County,2020/07/12,24,MD,24510,Baltimore city,194136,399354,1602207,536457,385643,201994,238836,155024,49676,17146,13378,2101,1952
County,2020/07/13,24,MD,24510,Baltimore city,181205,412285,1761243,611357,409294,219184,255788,171844,60421,18482,11306,2374,1193
County,2020/07/13,24,MD,24047,Worcester County,12474,39802,172749,45083,48506,19910,26943,17132,9309,2182,3416,215,53
County,2020/07/13,24,MD,24045,Wicomico County,22120,81489,325853,74733,80525,44995,46091,43662,25588,5967,3334,830,128
County,2020/07/13,24,MD,24043,Washington County,33883,117166,466102,108031,108123,57611,72919,62549,31513,19043,4926,1162,225
County,2020/07/13,24,MD,24041,Talbot County,8338,28843,126377,30946,31119,12950,19272,20552,5104,5682,466,209,77
County,2020/07/13,24,MD,24039,Somerset County,4523,21093,104540,27671,22618,7798,15132,18709,9053,2427,971,156,5
County,2020/07/13,24,MD,24037,St. Mary's County,21183,92327,377940,84394,93524,44025,59884,63263,20425,10357,1389,337,342
County,2020/07/13,24,MD,24035,Queen Anne's County,8751,41630,167404,27579,35570,19166,22408,34764,18046,8630,919,227,95
County,2020/07/13,24,MD,24033,Prince George's County,218510,690817,2645700,723821,553580,296057,445996,465867,116963,23948,13089,3533,2846
County,2020/07/13,24,MD,24031,Montgomery County,284276,766412,2873588,828860,642212,344058,434896,430693,143644,24640,14634,4789,5162
County,2020/07/13,24,MD,24029,Kent County,3922,15500,63258,15052,13461,8360,9645,10407,4392,1414,475,25,27
County,2020/07/13,24,MD,24027,Howard County,73012,252678,954471,255779,222240,107302,144781,162506,39035,11816,6998,1581,2433
County,2020/07/13,24,MD,24025,Harford County,53188,202253,794722,202773,167831,86704,115765,137399,57444,19880,5071,997,858
County,2020/07/13,24,MD,24023,Garrett County,4944,24070,103928,19220,27234,12460,19289,16563,5862,1351,1696,120,133
County,2020/07/13,24,MD,24021,Frederick County,55400,204147,778919,204409,164191,84755,104786,108745,71996,32804,4496,1772,965
County,2020/07/13,24,MD,24019,Dorchester County,5507,26422,126033,31497,29000,14509,13087,22961,7600,6069,999,251,60
County,2020/07/13,24,MD,24017,Charles County,33174,130083,498998,104549,112240,60266,71700,86337,53069,7030,2952,610,245
County,2020/07/13,24,MD,24015,Cecil County,20084,82771,327208,71051,71567,33204,51729,60956,23231,10651,3570,862,387
County,2020/07/13,24,MD,24013,Carroll County,33854,134593,514948,121388,116320,46970,64441,94505,52439,14005,3511,779,590
County,2020/07/13,24,MD,24011,Caroline County,6344,27062,116037,23211,22885,16628,13206,23098,9983,5600,1076,181,169
County,2020/07/13,24,MD,24009,Calvert County,19832,72693,275688,64005,62301,28267,35990,45599,28858,8739,1469,316,144
County,2020/07/13,24,MD,24005,Baltimore County,201533,625837,2350309,607681,534689,266087,371203,378804,120198,44410,21355,3889,1993
County,2020/07/13,24,MD,24003,Anne Arundel County,133885,445349,1712030,458404,371764,193918,259988,268450,112515,25213,14682,4209,2887
County,2020/07/13,24,MD,24001,Allegany County,16235,54181,222281,59936,56824,26809,36637,24952,9923,5279,1622,184,115
County,2020/07/14,24,MD,24510,Baltimore city,183230,410260,1808037,625622,423583,220620,269223,170443,66870,17803,10429,2169,1275
